dep,catr,homme,part_indemne,part_tue,part_blesse_hospi,part_blesse_leger
11,4,1,0.046357615894039736,0.019867549668874173,0.271523178807947,0.6622516556291391
88,3,1,0.04285714285714286,0.06428571428571428,0.6785714285714286,0.21428571428571427
37,3,0,0.04,0.08,0.68,0.2
37,9,0,0,0,0.5517241379310345,0.4482758620689655
95,9,0,0.25,0.5,0,0.25
33,2,1,0,0,0.5714285714285714,0.42857142857142855
90,5,0,0,0,0,1
34,6,1,0,0.3333333333333333,0.6666666666666666,0
63,7,1,0.043478260869565216,0.13043478260869565,0.17391304347826086,0.6521739130434783
56,3,0,0.025,0.1,0.55,0.325
09,3,0,0,0,0.75,0.25
12,3,1,0.012345679012345678,0.08641975308641975,0.6666666666666666,0.2345679012345679
76,9,1,0,0.2857142857142857,0.5714285714285714,0.14285714285714285
94,4,0,0.015384615384615385,0.005128205128205128,0.16923076923076924,0.8102564102564103
44,4,1,0.05366492146596859,0.015706806282722512,0.39267015706806285,0.5379581151832461
68,3,0,0.02586206896551724,0.04310344827586207,0.47413793103448276,0.45689655172413796
78,3,1,0.04075235109717868,0.047021943573667714,0.4952978056426332,0.4169278996865204
15,2,1,0,0.2222222222222222,0.6666666666666666,0.1111111111111111
02,3,1,0,0.11926605504587157,0.5871559633027523,0.29357798165137616
80,5,1,0,0,1,0
06,2,1,0.07352941176470588,0.014705882352941176,0.36764705882352944,0.5441176470588235
64,3,1,0.06191950464396285,0.04643962848297214,0.43653250773993807,0.4551083591331269
72,4,1,0.037383177570093455,0.028037383177570093,0.42990654205607476,0.5046728971962616
78,5,1,0,0,0.5,0.5
41,4,1,0.044642857142857144,0.03571428571428571,0.26785714285714285,0.6517857142857143
42,3,1,0.03857566765578635,0.06824925816023739,0.4807121661721068,0.4124629080118694
77,3,0,0,0.09090909090909091,0.6136363636363636,0.29545454545454547
75,2,1,0,0,0.1111111111111111,0.8888888888888888
62,4,0,0.006896551724137931,0.034482758620689655,0.5241379310344828,0.43448275862068964
75,2,0,0,0,0.3333333333333333,0.6666666666666666
78,4,1,0.05053191489361702,0.018617021276595744,0.3776595744680851,0.5531914893617021
33,4,0,0.030555555555555555,0.013888888888888888,0.23194444444444445,0.7236111111111111
94,3,0,0.03759398496240601,0,0.15037593984962405,0.8120300751879699
03,2,1,0,0,0.5,0.5
59,5,1,0,0.125,0.5,0.375
34,3,1,0.021739130434782608,0.11231884057971014,0.6268115942028986,0.2391304347826087
06,4,0,0.03550295857988166,0.023668639053254437,0.1834319526627219,0.757396449704142
42,9,1,0.07142857142857142,0,0.5,0.42857142857142855
13,1,1,0.1,0.2,0.3,0.4
55,3,1,0.05263157894736842,0.12280701754385964,0.45614035087719296,0.3684210526315789
65,2,1,0.02564102564102564,0.02564102564102564,0.48717948717948717,0.46153846153846156
04,4,1,0,0.08,0.72,0.2
10,4,0,0,0.018867924528301886,0.37735849056603776,0.6037735849056604
68,4,1,0.07526881720430108,0.02867383512544803,0.4910394265232975,0.4050179211469534
93,2,1,0.03676470588235294,0.007352941176470588,0.4411764705882353,0.5147058823529411
62,9,1,0,0.08333333333333333,0.5833333333333334,0.3333333333333333
35,4,0,0.027700831024930747,0.0110803324099723,0.1634349030470914,0.7977839335180056
81,4,0,0.07692307692307693,0.15384615384615385,0.5384615384615384,0.23076923076923078
18,3,1,0.010752688172043012,0.10752688172043011,0.6236559139784946,0.25806451612903225
83,2,1,0.09523809523809523,0.09523809523809523,0.5714285714285714,0.23809523809523808
79,4,0,0.04,0,0.6,0.36
95,5,1,0,0,0,1
60,4,0,0,0.034482758620689655,0.6206896551724138,0.3448275862068966
51,4,0,0.024390243902439025,0,0.3902439024390244,0.5853658536585366
64,4,1,0.054474708171206226,0.013618677042801557,0.20428015564202334,0.7276264591439688
01,4,0,0,0,0.4117647058823529,0.5882352941176471
92,9,0,0.047619047619047616,0,0.14285714285714285,0.8095238095238095
06,9,1,0.38095238095238093,0.047619047619047616,0.19047619047619047,0.38095238095238093
77,4,0,0,0.025,0.525,0.45
31,4,0,0.050505050505050504,0.010101010101010102,0.16498316498316498,0.7744107744107744
95,3,1,0.018867924528301886,0.045283018867924525,0.32075471698113206,0.6150943396226415
01,2,1,0,0.125,0.3125,0.5625
32,3,1,0.046153846153846156,0.12307692307692308,0.5692307692307692,0.26153846153846155
63,3,1,0.023923444976076555,0.06220095693779904,0.5167464114832536,0.39712918660287083
84,3,1,0.022321428571428572,0.125,0.6785714285714286,0.17410714285714285
80,2,1,0.08333333333333333,0.08333333333333333,0.5,0.3333333333333333
59,9,1,0.13333333333333333,0.03333333333333333,0.3,0.5333333333333333
30,6,1,0,0,0.5,0.5
73,9,1,0.25,0,0.25,0.5
5,2,0,0,0,0,1
76,4,1,0.06309148264984227,0.01892744479495268,0.3785488958990536,0.5394321766561514
09,4,1,0,0.10344827586206896,0.6896551724137931,0.20689655172413793
42,3,0,0.04081632653061224,0.04081632653061224,0.3673469387755102,0.5510204081632653
